query,hit_rank,corpus_id,source_file,unit_no,locator_type,sha1,fts_query
少昊,23,GCI-HOLD-0003,06宋书.txt,725,line,c2b3f85a937e3882048604ea0cb57f66ef02ae09,"""少 昊"""
少昊,24,GCI-HOLD-0003,06宋书.txt,727,line,b574b7ad7992914520f7217fb50acccce6658993,"""少 昊"""
少昊,25,GCI-HOLD-0003,06宋书.txt,2037,line,41c601535f678d380015c1401311e4873848c2cc,"""少 昊"""
太昊,1,GCI-HOLD-0003,02汉书.txt,1476,line,06421b84de18d0f6ece5f02d8ab7518dc96ae24f,"""太 昊"""
太昊,2,GCI-HOLD-0003,02汉书.txt,1477,line,5d31f94c80742f1e3fb20a915fabba4b6c49e753,"""太 昊"""
太昊,3,GCI-HOLD-0003,02汉书.txt,1876,line,4ca245b156e38f66e71676ef4946f93348d37c0b,"""太 昊"""
太昊,4,GCI-HOLD-0003,02汉书.txt,2433,line,891e8544b0bc1e67c3582b8f016587a818e37e2d,"""太 昊"""
太昊,5,GCI-HOLD-0003,02汉书.txt,2485,line,5720ff2b108b78f56be45e85dfa73347c0667c63,"""太 昊"""
太昊,6,GCI-HOLD-0003,02汉书.txt,2489,line,649e74359e0fdda9a6d0d625eca0733420f7e04d,"""太 昊"""
太昊,7,GCI-HOLD-0003,02汉书.txt,2585,line,d0944269f480146a7a15ce58ebcdf4471daaf5c1,"""太 昊"""
太昊,8,GCI-HOLD-0003,02汉书.txt,2613,line,4159ed323cf80ab1112dfa76018a89e6b526e638,"""太 昊"""
太昊,9,GCI-HOLD-0003,02汉书.txt,5242,line,1aa1cfaeac5bb1b1cbed3e7d987a255e152497f1,"""太 昊"""
太昊,10,GCI-HOLD-0003,05晋书.txt,811,line,1b04f0566e9b729cb27809cddfe83aff95fe2920,"""太 昊"""
太昊,11,GCI-HOLD-0003,05晋书.txt,963,line,287692568ab8a9da435e357605426f4875c96890,"""太 昊"""
太昊,12,GCI-HOLD-0003,05晋书.txt,1970,line,738426bda22bac8ecc3995c505eb814e0aae0dbc,"""太 昊"""
太昊,13,GCI-HOLD-0003,05晋书.txt,4593,line,a8c57287940c7d34e8f190e342a315834aa4cc67,"""太 昊"""
太昊,14,GCI-HOLD-0003,06宋书.txt,2035,line,9f3255d1d4a2d2c8d921251b46ae8471eac09edd,"""太 昊"""
太昊,15,GCI-HOLD-0003,10魏书.txt,3680,line,4f7a505fb5dc8c31e9e78ce42421972bb5e71c03,"""太 昊"""
太昊,16,GCI-HOLD-0003,13隋书.txt,131,line,de63835840f24729296a21a8363598aff078d738,"""太 昊"""
太昊,17,GCI-HOLD-0003,13隋书.txt,166,line,cf890679c39b5fd4490b9bd73829d6f558ea655f,"""太 昊"""
太昊,18,GCI-HOLD-0003,13隋书.txt,7078,line,e15b5117247613c2a5a8dc495ff6f7a288ffecc4,"""太 昊"""
太昊,19,GCI-HOLD-0003,14北史.txt,3250,line,d6262e36d6b1a4dabb1a64a41b0eb66a0563eff8,"""太 昊"""
太昊,20,GCI-HOLD-0003,14北史.txt,5375,line,906be4897e3eded7ec1b175b22852b910b85979f,"""太 昊"""
太昊,21,GCI-HOLD-0003,16旧唐书.txt,1682,line,82e9ddfcb19218d783c870889b06ed46b2215673,"""太 昊"""
太昊,22,GCI-HOLD-0003,16旧唐书.txt,1747,line,85edc43e2b6ce889e66733b8f1a09b6bffb9c26f,"""太 昊"""
太昊,23,GCI-HOLD-0003,16旧唐书.txt,2093,line,9326b9b8dee37268ec964068d536aa15cabde7a7,"""太 昊"""
太昊,24,GCI-HOLD-0003,16旧唐书.txt,3448,line,014583ab67fdcc0400f38e2d0ad6cba27ad6d2ef,"""太 昊"""
太昊,25,GCI-HOLD-0003,16旧唐书.txt,6160,line,2910b7e16bda6f83ff5b2c6c022b2ef53985f386,"""太 昊"""
颛顼,1,GCI-HOLD-0003,01史记.txt,7,line,e06933324cd51db8702490660af1c81c782f9697,"""颛 顼"""
颛顼,2,GCI-HOLD-0003,01史记.txt,8,line,91e42db7d7c9325e5f091a23a968b54187410e54,"""颛 顼"""
颛顼,3,GCI-HOLD-0003,01史记.txt,9,line,b894b45ff31ab7b37d05c1c0816766dafeaac599,"""颛 顼"""
颛顼,4,GCI-HOLD-0003,01史记.txt,10,line,f2d7f1bb7cacdd4053c1edca71ddafc0aff9b2cf,"""颛 顼"""
颛顼,5,GCI-HOLD-0003,01史记.txt,20,line,3b6789c8a76362189f3cc1b512b7f7a4d10a9aa5,"""颛 顼"""
颛顼,6,GCI-HOLD-0003,01史记.txt,25,line,f7d4890d7b9abaa812103603f70f9a34539d24ba,"""颛 顼"""
颛顼,7,GCI-HOLD-0003,01史记.txt,29,line,ba802375312e88fad6e760f7c259a320d54f9c16,"""颛 顼"""
颛顼,8,GCI-HOLD-0003,01史记.txt,33,line,9d964aead303fba8b2d5bf3d834c873a3f4f9ba9,"""颛 顼"""
颛顼,9,GCI-HOLD-0003,01史记.txt,188,line,bbc3e0f7480e6c54c57b6909389648d229581632,"""颛 顼"""
颛顼,10,GCI-HOLD-0003,01史记.txt,817,line,f8a7b58cbe6902fa7b9e504052e213c8fed2afad,"""颛 顼"""
颛顼,11,GCI-HOLD-0003,01史记.txt,840,line,8bbaf5d588881a754504efe3daaed72b361e470b,"""颛 顼"""
颛顼,12,GCI-HOLD-0003,01史记.txt,1221,line,b13e8a3caa569dd268541610db73fd123341fce1,"""颛 顼"""
颛顼,13,GCI-HOLD-0003,01史记.txt,1693,line,3af1aeafd6fc8e947dfba1752588f26667f67bdb,"""颛 顼"""
颛顼,14,GCI-HOLD-0003,01史记.txt,1964,line,b3cc8466634e45f7e70d0af66b393ed32b49e70b,"""颛 顼"""
颛顼,15,GCI-HOLD-0003,01史记.txt,3926,line,a1ee06259dab1aa0f3ec145a032bc63fd893ee82,"""颛 顼"""
颛顼,16,GCI-HOLD-0003,01史记.txt,4914,line,421612ea330ba375a44a8a443280a3baec6aa508,"""颛 顼"""
