序号,书名,时代,字符数,系统,词项,变体,独立Raw次数,最长优先次数,每百万字
09,陈书,魏晋南北朝,202689,蛇—ta系统,螣蛇,螣蛇 / 腾蛇 / 騰蛇,0,0,0.0
09,陈书,魏晋南北朝,202689,蛇—ta系统,巴蛇,巴蛇,0,0,0.0
09,陈书,魏晋南北朝,202689,蛇—ta系统,化蛇,化蛇,0,0,0.0
09,陈书,魏晋南北朝,202689,蛇—ta系统,鸣蛇,鸣蛇 / 鳴蛇,0,0,0.0
09,陈书,魏晋南北朝,202689,娲—娃—蛙系统,娲,娲 / 媧,0,0,0.0
09,陈书,魏晋南北朝,202689,娲—娃—蛙系统,女娲,女娲 / 女媧,0,0,0.0
09,陈书,魏晋南北朝,202689,娲—娃—蛙系统,娃,娃,0,0,0.0
09,陈书,魏晋南北朝,202689,娲—娃—蛙系统,女娃,女娃,0,0,0.0
09,陈书,魏晋南北朝,202689,娲—娃—蛙系统,蛙,蛙,1,1,4.93366684921234
09,陈书,魏晋南北朝,202689,娲—娃—蛙系统,青蛙,青蛙,0,0,0.0
09,陈书,魏晋南北朝,202689,娲—娃—蛙系统,黾,黾 / 黽,0,0,0.0
09,陈书,魏晋南北朝,202689,娲—娃—蛙系统,精卫,精卫 / 精衛,0,0,0.0
09,陈书,魏晋南北朝,202689,鸟—凤—风系统,鸟,鸟 / 鳥,7,7,34.535667944486384
09,陈书,魏晋南北朝,202689,鸟—凤—风系统,凤,凤 / 鳳,2,2,9.86733369842468
09,陈书,魏晋南北朝,202689,鸟—凤—风系统,凤凰,凤凰 / 鳳凰 / 凤皇 / 鳳皇,0,0,0.0
09,陈书,魏晋南北朝,202689,鸟—凤—风系统,玄鸟,玄鸟 / 玄鳥,0,0,0.0
09,陈书,魏晋南北朝,202689,鸟—凤—风系统,朱鸟朱雀,朱鸟 / 朱鳥 / 朱雀,8,8,39.46933479369872
09,陈书,魏晋南北朝,202689,鸟—凤—风系统,精卫,精卫 / 精衛,0,0,0.0
09,陈书,魏晋南北朝,202689,鸟—凤—风系统,风,风 / 風,147,147,725.249026834214
